model,metric,condition,n,friedman_q,df,p_value,significant,kendall_w,w_magnitude,tested,note
gpt-4o,sloc,primary,164,348.2168117519045,5,4.2365239723805423e-73,True,0.42465464847793233,moderate,True,
gpt-4o,cc,primary,164,169.57952815829552,5,8.970412045702693e-35,True,0.2068043026320677,weak,True,
gpt-4o,halstead_volume,primary,164,132.96659830061526,5,5.5829519284752915e-27,True,0.16215438817148203,weak,True,
gpt-4o,halstead_difficulty,primary,164,119.43425076452615,5,4.135771279489872e-24,True,0.14565152532259287,weak,True,
gpt-4o,halstead_effort,primary,164,128.38166373755098,5,5.247562791633397e-26,True,0.156563004557989,weak,True,
gpt-4o,sloc,passing,127,258.522012578617,5,8.1517952072268e-54,True,0.4071212796513654,moderate,True,
gpt-4o,cc,passing,127,129.553042541735,5,2.9608871940393696e-26,True,0.20402053943580317,weak,True,
gpt-4o,halstead_volume,passing,127,102.82439623413897,5,1.3413352343932557e-20,True,0.16192818304588816,weak,True,
gpt-4o,halstead_difficulty,passing,127,103.97402597402684,5,7.673663221227944e-21,True,0.16373862358114463,weak,True,
gpt-4o,halstead_effort,passing,127,103.62315875613831,5,9.099814567099289e-21,True,0.16318607678132016,weak,True,
gpt-4o-mini,sloc,primary,164,335.2460354477614,5,2.6241772446086563e-70,True,0.408836628594831,moderate,True,
gpt-4o-mini,cc,primary,164,258.26001128031555,5,9.278775531282373e-54,True,0.3149512332686775,moderate,True,
gpt-4o-mini,halstead_volume,primary,164,198.13026727666752,5,7.134495903910232e-41,True,0.2416222771666677,weak,True,
gpt-4o-mini,halstead_difficulty,primary,164,205.70205479452056,5,1.711438873223283e-42,True,0.2508561643835617,weak,True,
gpt-4o-mini,halstead_effort,primary,164,204.98796630565568,5,2.4332139519391184e-42,True,0.24998532476299473,weak,True,
gpt-4o-mini,sloc,passing,124,277.36968340262223,5,7.311972892656744e-58,True,0.4473704571010036,moderate,True,
gpt-4o-mini,cc,passing,124,248.96708961141948,5,9.156672619259914e-52,True,0.4015598219539024,moderate,True,
gpt-4o-mini,halstead_volume,passing,124,196.47167281260505,5,1.6147355561804965e-40,True,0.3168897948590404,moderate,True,
gpt-4o-mini,halstead_difficulty,passing,124,201.19218910585803,5,1.5789423827054746e-41,True,0.32450353081590005,moderate,True,
gpt-4o-mini,halstead_effort,passing,124,207.0583305397252,5,8.771819554778004e-43,True,0.33396504925762127,moderate,True,
